location,time,temperature,precipitation_probability,precipitation,is_day
New York,2026-02-15 15:00:00,0.05000000074505806,,0.0,1
New York,2026-02-15 16:00:00,1.0499999523162842,,0.0,1
New York,2026-02-15 17:00:00,1.5499999523162842,,0.0,1
New York,2026-02-15 18:00:00,2.0999999046325684,,0.0,1
New York,2026-02-15 19:00:00,2.200000047683716,,0.0,1
New York,2026-02-15 20:00:00,2.0,,0.0,1
New York,2026-02-15 21:00:00,1.75,,0.0,1
New York,2026-02-15 22:00:00,1.350000023841858,,0.0,1
New York,2026-02-15 23:00:00,0.25,,0.0,0
New York,2026-02-16 00:00:00,0.3499999940395355,,0.0,0
New York,2026-02-16 01:00:00,0.15000000596046448,,0.10000000149011612,0
New York,2026-02-16 02:00:00,-0.05000000074505806,,0.20000000298023224,0
New York,2026-02-16 03:00:00,-0.25,,0.20000000298023224,0
New York,2026-02-16 04:00:00,-0.5,,0.20000000298023224,0
Washington,2026-02-14 05:00:00,-3.75,,0.0,0
Washington,2026-02-14 06:00:00,-3.200000047683716,,0.0,0
Washington,2026-02-14 07:00:00,-3.9000000953674316,,0.0,0
Washington,2026-02-14 08:00:00,-3.6500000953674316,,0.0,0
Washington,2026-02-14 09:00:00,-3.8499999046325684,,0.0,0
Washington,2026-02-14 10:00:00,-4.300000190734863,,0.0,0
Washington,2026-02-14 11:00:00,-4.949999809265137,,0.0,0
Washington,2026-02-14 12:00:00,-5.0,,0.0,0
Washington,2026-02-14 13:00:00,-3.549999952316284,,0.0,1
Washington,2026-02-14 14:00:00,-0.30000001192092896,,0.0,1
Washington,2026-02-14 15:00:00,3.700000047683716,,0.0,1
Washington,2026-02-14 16:00:00,6.900000095367432,,0.0,1
Washington,2026-02-14 17:00:00,9.100000381469727,,0.0,1
Washington,2026-02-14 18:00:00,10.699999809265137,,0.0,1
Washington,2026-02-14 19:00:00,12.100000381469727,,0.0,1
Washington,2026-02-14 20:00:00,12.550000190734863,,0.0,1
Washington,2026-02-14 21:00:00,12.050000190734863,,0.0,1
Washington,2026-02-14 22:00:00,9.050000190734863,,0.0,1
Washington,2026-02-14 23:00:00,5.650000095367432,,0.0,0
Washington,2026-02-15 00:00:00,5.449999809265137,,0.0,0
Washington,2026-02-15 01:00:00,3.9000000953674316,,0.0,0
Washington,2026-02-15 02:00:00,2.799999952316284,,0.0,0
Washington,2026-02-15 03:00:00,2.1500000953674316,,0.0,0
Washington,2026-02-15 04:00:00,1.75,,0.0,0
Washington,2026-02-15 05:00:00,1.4500000476837158,,0.0,0
Washington,2026-02-15 06:00:00,1.4500000476837158,,0.0,0
Washington,2026-02-15 07:00:00,1.0,,0.0,0
Washington,2026-02-15 08:00:00,0.8999999761581421,,0.0,0
Washington,2026-02-15 09:00:00,1.100000023841858,,0.0,0
Washington,2026-02-15 10:00:00,1.0,,0.0,0
Washington,2026-02-15 11:00:00,0.6499999761581421,,0.0,0
Washington,2026-02-15 12:00:00,1.2999999523162842,,0.0,1
Washington,2026-02-15 13:00:00,2.0999999046325684,,0.0,1
Washington,2026-02-15 14:00:00,3.25,,0.0,1
Washington,2026-02-15 15:00:00,4.099999904632568,,0.0,1
Washington,2026-02-15 16:00:00,5.599999904632568,,0.0,1
Washington,2026-02-15 17:00:00,5.699999809265137,,0.10000000149011612,1
Washington,2026-02-15 18:00:00,5.949999809265137,,0.30000001192092896,1
Washington,2026-02-15 19:00:00,3.950000047683716,,0.699999988079071,1
Washington,2026-02-15 20:00:00,3.5,,0.800000011920929,1
Washington,2026-02-15 21:00:00,3.049999952316284,,1.2000000476837158,1
Washington,2026-02-15 22:00:00,2.8499999046325684,,1.600000023841858,1
Washington,2026-02-15 23:00:00,2.549999952316284,,1.100000023841858,0
Washington,2026-02-16 00:00:00,2.299999952316284,,1.0,0
Washington,2026-02-16 01:00:00,2.1500000953674316,,1.0,0
Washington,2026-02-16 02:00:00,2.0999999046325684,,1.2000000476837158,0
Washington,2026-02-16 03:00:00,2.0,,0.6000000238418579,0
Washington,2026-02-16 04:00:00,1.7999999523162842,,0.20000000298023224,0
San Francisco,2026-02-14 08:00:00,11.0,,0.0,0
San Francisco,2026-02-14 09:00:00,10.899999618530273,,0.0,0
San Francisco,2026-02-14 10:00:00,10.699999809265137,,0.0,0
San Francisco,2026-02-14 11:00:00,10.300000190734863,,0.0,0
San Francisco,2026-02-14 12:00:00,9.899999618530273,,0.0,0
San Francisco,2026-02-14 13:00:00,9.550000190734863,,0.0,0
San Francisco,2026-02-14 14:00:00,9.050000190734863,,0.0,0
San Francisco,2026-02-14 15:00:00,8.649999618530273,,0.0,1
